название,куплено,сумма_руб,категория,весовой,бренд,фасовка,жирность,не_хватает,запрос,магазины
"МАСЛО ГОСТ 82,5% 450",6,2412,Масло сливочное,,,0.45кг,"82,5%",бренд,"масло сливочное 82,5% ""МАСЛО ГОСТ 82,5% 450"" какая марка",Глобус
"СОЛЬ ПОСОЛЬСК 2,5КГ",6,1551,Сахар и соль,,,2.5кг,,бренд,"сахар и соль ""СОЛЬ ПОСОЛЬСК 2,5КГ"" какая марка",Глобус
ПЛАСТЫРЬ ХЭППИ 12,6,516,,,,,,"категория, бренд, фасовка","""ПЛАСТЫРЬ ХЭППИ 12"" что за товар",Глобус
РАЗРЫХЛИТ ТЕСТА 10Г,6,428,,,,,,"категория, бренд, фасовка","""РАЗРЫХЛИТ ТЕСТА 10Г"" что за товар","Глобус, Ашан"
ЖИД.МЫЛО ВЕСТАР 1Л,6,1023,Бытовая химия и гигиена,,,1л,,бренд,"бытовая химия и гигиена ""ЖИД.МЫЛО ВЕСТАР 1Л"" какая марка",Глобус
ФИЛЕ ГОЛЕНИ ИНД.600Г,6,1317,Птица,,,0.6кг,,бренд,"птица ""ФИЛЕ ГОЛЕНИ ИНД.600Г"" какая марка",Глобус
"ВИНО КОРГУШ КР 0,75Л",6,3485,Вино,,,0.75л,,"бренд, жирность","вино ""ВИНО КОРГУШ КР 0,75Л"" какая марка",Глобус
"ГЛИНТВЕЙН КР СЛ 0,75",6,3510,,,,,,"категория, бренд, фасовка","""ГЛИНТВЕЙН КР СЛ 0,75"" что за товар",Глобус
ЧЕРН Б/К ЭКОН 500Г,6,1265,,,,,,"категория, бренд, фасовка","""ЧЕРН Б/К ЭКОН 500Г"" что за товар",Глобус
МУКА ТВЕРД РЖ ЦЗ 1КГ,6,961,Мука,,,1кг,,бренд,"мука ""МУКА ТВЕРД РЖ ЦЗ 1КГ"" какая марка",Глобус
"АМСТЕЛ ПРЕМИУМ 0,45Л",6,360,,,,,,"категория, бренд, фасовка","""АМСТЕЛ ПРЕМИУМ 0,45Л"" что за товар",Глобус
СЛИПЫ Д/ДЕВ БЕЛ,6,1711,,,,,,"категория, бренд, фасовка","""СЛИПЫ Д/ДЕВ БЕЛ"" что за товар",Глобус
ЖИДКИЙ БЕЛОК,6,1926,,,,,,"категория, бренд, фасовка","""ЖИДКИЙ БЕЛОК"" что за товар",Глобус
МОРОЖ МАНГО 400Г,6,1530,Заморозка,,,0.4кг,,бренд,"заморозка ""МОРОЖ МАНГО 400Г"" какая марка",Глобус
ЯЙЦО СЕЛЯНОЧКА КУР.С0 10ШТ,6,698,Яйцо,,,10шт,,бренд,"яйцо ""ЯЙЦО СЕЛЯНОЧКА КУР.С0 10ШТ"" какая марка","Перекрёсток, Пятёрочка"
ТОМ ФЛАМЕНКО 250Г,6,1471,,,,,,"категория, бренд, фасовка","""ТОМ ФЛАМЕНКО 250Г"" что за товар",Глобус
ПОЛОТ ФАМИЛИЯ 2С 2Р,6,1042,Бытовая химия и гигиена,,,,,"бренд, фасовка","бытовая химия и гигиена ""ПОЛОТ ФАМИЛИЯ 2С 2Р"" производитель вес упаковки",Глобус
ЯЙЦО СМЕТ СВ10ШТ,6,1351,Яйцо,,,10шт,,бренд,"яйцо ""ЯЙЦО СМЕТ СВ10ШТ"" какая марка",Глобус
ТВОР СЕЛ ЗЕЛ5%500Г,6,1026,,,,,5%,"категория, бренд, фасовка","5% ""ТВОР СЕЛ ЗЕЛ5%500Г"" производитель вес упаковки",Глобус
